N3 Vocabulary,Character
油 (abura): oil,油
"愛 (ai): love, affection, care",愛
"愛情 (aijou): love, affection",愛情
"相変わらず (aikawarazu): as ever, as usual, the same",相変わらず
"生憎 (ainiku): unfortunately; sorry, but…",生憎
愛する (aisuru): to love,愛する
"相手 (aite): companion, partner",相手
"合図 (aizu): sign, signal",合図
"明かり (akari): light, illumination, glow",明かり
"明ける (akeru): to dawn, to end (of a period, season)",明ける
"空き (aki): space, room, emptiness",空き
"空き家 (akiya): vacant house, unoccupied house",空き家
"明らか (akiraka): obvious, evident, clear",明らか
"諦める (akirameru): to give up, to abandon",諦める
飽きる (akiru): to get tired of,飽きる
"悪魔 (akuma): demon, evil",悪魔
握手 (akushu): handshake,握手
"余る (amaru): to remain, to be left over",余る
"編む (amu): to knit, to braid",編む
"案 (an): idea, plan, thought",案
"汗 (ase): sweat, perspiration",汗
"穴 (ana): hole, deficit, vacancy",穴
暗記 (anki): memorization,暗記
"安定 (antei): stability, equilibrium",安定
"粗い (arai): coarse, rough",粗い
"嵐 (arashi): storm, tempest",嵐
"新た (arata): new, fresh, novel",新た
"現れる (arawareru): to appear, to come in sight",現れる
"表す (arawasu): to represent, to show, to display",表す
"有らゆる (arayuru): all, every",有らゆる
"足元 (ashimoto): at one’s feet, under foot",足元
"与える (ataeru): to give, to bestow",与える
"値 (atai): price, cost",値
"辺り (atari): neighborhood, nearby",辺り
"当たる (ataru): to be hit, to strike",当たる
"温める (atatameru): to warm, to heat",温める
"跡 (ato): trace, tracks, mark",跡
"扱う (atsukau): to deal with, to treat",扱う
"集まり (atsumari): gathering, meeting",集まり
"慌てる (awateru): to panic , to rush",慌てる
"誤り (ayamari): error, mistake, slip",誤り
"泡 (awa): bubble, foam",泡
"哀れ (aware): pity, sorrow, grief",哀れ
"合わせる (awaseru): to match, to join together",合わせる
預ける (azukeru): to give into custody,預ける
"場 (ba): place, spot, scene",場
"馬鹿 (baka): fool, idiot",馬鹿
"莫大 (bakudai): enormous, vast",莫大
"爆発 (bakuhatsu): explosion, detonation",爆発
"場面 (bamen): scene, setting",場面
"ばらばら: scattered, in pieces",ばらばら:
"罰する (bassuru): to punish, to penalize",罰する
"弁護士 (bengoshi): lawyer, attorney",弁護士
"別々 (betsubetsu): separately, individually",別々
美人 (bijin): beautiful woman,美人
びっくり: to be surprised,びっくり:
"微妙 (bimyou): delicate, subtle",微妙
"瓶 (bin): bottle, jar",瓶
"便 (bin): mail, post, flight",便
ぼんやり: absentmindedly,ぼんやり:
"募集 (boshuu): recruitment, taking applications , raising (funds)",募集
"棒 (bou): pole, rod, stick",棒
"冒険 (bouken): adventure, risk",冒険
"部分 (bubun): portion, section, part",部分
"部品 (buhin): parts, components",部品
"無事 (buji): safety, peace",無事
"武器 (buki): weapon, arms",武器
物価 (bukka): prices of commodities,物価
文 (bun): sentence,文
"分 (bun): part, segment, share",分
文明 (bunmei): civilization,文明
"分類 (bunrui): categorization, sorting",分類
分析 (bunseki): analysis,分析
"文章 (bunshou): essay, article, composition",文章
"分野 (bun’ya): field, sphere",分野
"ぶらぶら: strolling, wandering",ぶらぶら:
無沙汰 (busata): not writing or contacting for a while,無沙汰
"物質 (busshitsu): material, substance",物質
舞台 (butai): stage,舞台
"打つかる (butsukaru): to strike against, to collide with",打つかる
物理 (butsuri): physics,物理
秒 (byou): second,秒
"平等 (byoudou): equality, evenness",平等
父親 (chichioya): father,父親
"知恵 (chie): wisdom, wit",知恵
"違い (chigai): difference, discrepancy",違い
地平線 (chiheisen): horizon,地平線
"地方 (chihou): district, region, area",地方
"地位 (chii): social position, status",地位
"地域 (chiiki): area, region",地域
知事 (chiji): prefectural governor,知事
"地下 (chika): basement, cellar",地下
"近頃 (chikagoro): lately, recently",近頃
"近道 (chikamichi): short way, shortcut",近道
"力強い (chikarazuyoi): powerful, strong",力強い
"遅刻 (chikoku): lateness, late coming",遅刻
"地区 (chiku): district, section, sector",地区
"地球 (chikyuu): the earth, the globe",地球
"知能 (chinou): intelligence, brain",知能
"知識 (chishiki): knowledge, information",知識
貯金 (chokin): savings,貯金
"直接 (chokusetsu): direct, immediate",直接
"著者 (chosha): author, writer",著者
"頂上 (choujou): top, summit, peak",頂上
長期 (chouki): long-term,長期
"調査 (chousa): investigation, examination",調査
"調子 (choushi): tone, condition, health",調子
"長所 (chousho): strong point, merit, virtue",長所
朝食 (choushoku): breakfast,朝食
中学 (chuugaku): middle school,中学
"中間 (chuukan): middle, midway, center",中間
"中古 (chuuko): used, second-hand",中古
"注目 (chuumoku): notice, attention",注目
"注文 (chuumon): order, request",注文
駐車 (chuusha): parking,駐車
"中止 (chuushi): suspension, stoppage",中止
"中心 (chuushin): center, middle, core",中心
"中心地 (chuushinchi): center, metropolis",中心地
"昼食 (chuushoku): lunch, midday meal",昼食
"中央 (chuuou): centre, middle",中央
"代 (dai): cost, price , generation",代
"大部分 (daibubun): most part, majority",大部分
代表 (daihyou): representative,代表
"代表者 (daihyousha): representative, delegate",代表者
大臣 (daijin): cabinet minister,大臣
"代金 (daikin): price, payment, cost",代金
"代理 (dairi): representation, agency",代理
大成功 (daiseikou): huge success,大成功
"大小 (daishou): sizes (various), large and small",大小
"大都会 (daitokai): metropolis, big city",大都会
"大統領 (daitouryou): president, chief executive",大統領
黙る (damaru): to be silent,黙る
"段 (dan): steps, stair, grade, rank",段
"だんだん: gradually, little by little",だんだん:
"男女 (danjo): men and women, both genders",男女
"男子 (danshi): youth, young man",男子
"団体 (dantai): organization, association",団体
"だるい: sluggish, bothersome",だるい:
"出会い (deai): meeting, encounter",出会い
出会う (deau): to meet (by chance),出会う
"出来事 (dekigoto): incident, affair",出来事
"電池 (denchi): battery, cell",電池
伝言 (dengon): verbal message,伝言
電球 (denkyuu): light bulb,電球
電子 (denshi): electron,電子
電子レンジ (denshi renji): microwave oven,電子レンジ
"伝統 (dentou): tradition, convention",伝統
