English,Nihongo
microwave,電子レンジ
gas range,ガスレンジ
gas stove,ガスコンロ
glass,グラス
lever,レバー
wine glass,ワイングラス
coffee,コーヒー
tea cup,湯呑み
tea cup,茶わん
window glass,窓グラス
sink,流し
living room,居間
screen,網戸
shutter,雨戸
ceiling,天井
floor,床
aircon,エアコン
heater,ヒーター
cord,コード
electrical outlet,コンセント
carpet,かペット
carpet,じゅうたん
turn a tap,水道の蛇口をひねる
water freezes,水を凍る
turn into ice,氷になる
freeze to store,冷凍して保存する
warm up left overs,残り物を温める
chill the beer,ビルを冷やす
the beer is chilled,ビルが冷えている
aircon remote control,エアコンのリモコン
switch,スイッチ
plug in,電源を入れる
unplug,切る
carpet the floor,じゅうたんを敷く
heat up the room,部屋を温める
turn on the heater,暖房をつける
be well air-conditioned,クーラーが効いている
be well air-conditioned,冷房を効いている
good exposure to the sun,日当たりがいい
poor exposure to the sun,日当たりが悪い
ingredients,材料
milk,牛乳
potato,ジャガイモ
onion,玉ねぎ
seasoning,調味料
water,水
sake,酒
soy sauce,しょうゆ
sugar,砂糖
salad oil,サラダ油
just a minute,少々
table spoon,大さじ
tea spoon,小さじ
liter,リットル
cup,カップ
kitchen knife,包丁
cutting board,まな板
weighing scale,はかり
gram,グラム
side dish,おかず
dinner,夕食
certainly,ぜひ
dish for dinner,夕食のおかず
think about nutritional balance,栄養のバランスを考える
high calorie food,カロリーが高い食品
vinegar,酢
weigh on a scale,はかりで量る
tempura oil,天ぷら油
salt lightly,塩を少々入れる
peel,皮をむく
the miso soup is lukewarm,みそ汁をぬるくなる
chop the ingredients,材料を刻む
cut in big pieces,大きめに切る
cut into 3 cm,３センチ幅に切る
cover with plastic wrap,ラップをかぶせる
cover with plastic wrap,ラップをかける
wrap with plastic wrap,ラップでくるむ
aluminum foil,(あるみ)ホイル
lid,ふた
ladle,おたま
"pot, pan",なべ
fry pan,フライパン
spatula,フラパン返し
rice cooker,炊飯器
rice paddle,しゃもじ
oil,油
meat,肉
cook in the sauce,煮る
recipe,作り方
"complete, done",できあがり
stir-fry,いためる
hot water,湯
rice,ご飯
"soft, tender",柔らかい
boil the water,お湯を沸かす
the water boils,お湯を沸く
let hot water cool,お湯を冷ます
hot water cools,お湯を冷める
put a pan on the stove,なべを火にかける
cook rice,ご飯を炊く
heat the oil in the pan,油を熱する
deep fry,油で揚げる
cook in the sauce,煮る
boil,ゆでる
stir-fry,いためる
steam,蒸す
dry off,水を切る
burn,焦げる
turn over,ひっくり返す
turn over,裏返す
season,味をつける
add salt,塩を加える
sprinkle pepper,こしょうを振る
taste,味見をする
taste,味を見る
strong flavor,味が濃い
weak flavour,味が薄い
"spicy, hot, salty",辛い
salty,塩からい
sour,すっぱい
be completed,できあがる
completion,できあがり
apron,エプロン
broom,ほうき
dust pan,ちりとり
rag,ぞうきん
bucket,バケツ
put apron on,エプロンをする
put apron on,エプロンをかける
put apron on,エプロンをつける
push the coach aside,スフアーをどける
step aside,〜がどく
clutter the room,部屋を散らかす
the room is cluttered,部屋が散らかる
tidy up the room,部屋を片づける
the room is tidied,部屋が片づく
spill the juice,ジュースをこぼす
the juice is spilled,ジュースがこぼれる
collect dust,ほこりがたまる
covered with dust,ほこりがつもる
snowfall,雪がつもる
dust,ほこりを取る
vacuum,掃除機をかける
sweep,ほうきで掃く
fill with water,水をくむ
wet the rag,ぞうきんをめらす
wring the rag,ぞうきんをしぼる
wipe the floor,床をふく
dry the dishes with a tea towel,ふきんで食器をふく
wipe the table with a cloth,台ぶきんでテーブルをふく
polish the furniture,家具をみがく
scrub with a brush,ブラシでこする
kitchen garbage,生ゴミ
sorting garbage is a hassle,ごみを分けるのは面倒だ
sorting garbage is a hassle,ごみを分けるのは面倒くさい
burnable garbage,燃えるゴミ
non-burnable garbage,燃えないゴミ
place the slippers nicely,スリッパをそろえる
put it a way in the storage,物置にします
(laundry) piles up,洗濯物がたまる
wet,〜がぬれている
not dry,〜が湿っている
dry,〜が乾く
…comes out pure white,〜が真っ白に仕上がる
(laundry) let it pile up,洗濯物をためる
wet,〜をぬらす
put it out for drying,〜干す
dry in the dryer,〜乾燥機で乾かす
fold,〜たたむ
get ones clothes dirty,服を汚す
the cuffs have become very dirty,袖が真っ黒に汚れる
dirt,汚れ
add detergent,洗剤を入れる
dish soap,洗剤
send a suit to the dry cleaners,スーツをクリーニングに出す
wash the laundry in a laundromat,コインランドリーで洗濯する
dry a towel,タオルを干す
hang an outfit,服をつるす
iron a shirt,ワイシャツにアイロンをかける
take the creases out,シワを伸ばす
the creases have been smooth out,シワが伸びる
the wooden sweater has shrunk,ウールのせーたーが縮む
a pair of jeans faded,ジーンズの色が落ちる
lovely,かわいらしい
poor,かわいそうな
well-mannered,行儀がいい
smart,利口な
smart,かしこい
friendly,人なつこい
self-centered,わがままな
impertinent,生意気な
impudent,生意気な態度
spoil,甘やかす
adore,かわいがる
piggyback,おんぶする
pick (the baby) up,抱っこする
pick (the baby) up,腕に抱く
bark,ほえる
wag its tail,しっぽを振る
become tame,人になれる
growl,うなる
dig a whole,穴をほる
fill a whole,穴をうめる
child rearing,育児
