N2 Vocabulary,Character
暴れる (abareru): to act violently; to rage; to struggle; to be riotous,暴れる
溢れる (afureru): to overflow; to brim over; to flood,溢れる
愛着 (aichaku): attachment; love; covetous affection,愛着
合間 (aima): interval; break; pause; spare moment,合間
曖昧 (aimai): vague; ambiguous; unclear,曖昧
愛らしい (airashii): pretty; charming; lovely; adorable,愛らしい
愛社 (aisha): devotion to one’s company,愛社
相性 (aishou): affinity; compatibility,相性
相次いで (aitsuide): one after the other; successively,相次いで
愛用 (aiyou): favorite; habitually used,愛用
味付け (ajitsuke): seasoning; flavor,味付け
赤字 (akaji): (being in) the red; deficit; red letter; red writing ; corrections (by a teacher or proofreader) written in red,赤字
飽き (aki): weariness; boredom; tedium; tiresomeness,飽き
空き地 (akichi): vacant land; unoccupied ground; empty lot,空き地
諦め (akirame): resignation; acceptance; consolation,諦め
悪化 (akka): (suffer) deterioration; growing worse; aggravation; degeneration; corruption,悪化
憧れ (akogare): yearning; longing; aspiration; adoration; admiration,憧れ
憧れる (akogareru): to long for; to yearn after; to admire; to be attracted by,憧れる
悪影響 (akueikyou): bad influence; negative influence,悪影響
悪意 (akui): ill will; spite; evil intention; malice ; bad meaning,悪意
悪条件 (akujouken): unfavorable conditions; unfavourable conditions,悪条件
雨水 (amamizu/usui): rain water,雨水
甘やかす (amayakasu): to pamper; to spoil,甘やかす
案外 (angai): unexpectedly; surprisingly ; unexpected; unanticipated; unforeseen; surprising,案外
安易 (an’i): easy; simple ; easygoing; lighthearted; simplistic; irresponsible; careless; quick (to do),安易
安価 (anka): low-priced; cheap; inexpensive,安価
仰向け (aomuke): face up,仰向け
荒い (arai): rough; wild; violent; rude; coarse; harsh; fierce; heavy (e.g. breathing) ; immoderate; extravagant; reckless,荒い
洗い出す (araidasu): to reveal something by washing the surface ; to bring to light; to reveal by investigation,洗い出す
予め (arakajime): beforehand; in advance; previously,予め
争う (arasou): to compete; to contest; to contend ; to quarrel; to argue; to dispute; to be at variance; to oppose,争う
改める (aratameru): to change; to alter; to revise; to replace; to reform; to correct; to mend; to improve,改める
荒れる (areru): to be stormy; to be rough ; to be ruined; to fall into ruin ; to be in a bad temper; to lose one’s temper,荒れる
焦り (aseri): impatience,焦り
焦る (aseru): to be in a hurry; to be impatient; to be flustered; to lose one’s presence of mind; to be surprised,焦る
"足を運ぶ (ashi o hakobu): to go; to come; to turn out (at a meeting, event, etc.); to show up; to make your way to",足を運ぶ
圧勝 (asshou): complete victory,圧勝
宛 (ate): addressed to,宛
当てはまる (atehamaru): to apply (a rule); to be applicable; to come under (a category); to fulfill; to hold true,当てはまる
後回し (atomawashi): putting off; postponing,後回し
後戻り (atomodori): going backward; turning back; backtracking; doubling back ; retrogression; relapse; returning to a bad state,後戻り
あっという間 (attoiuma): a blink of time,あっという間
厚かましい (atsukamashii): impudent; shameless; brazen,厚かましい
慌ただしい (awatadashii): busy; hurried; confused; flurried,慌ただしい
怪しい (ayashii): suspicious; dubious; doubtful; dodgy; suspicious (referring to a potential amorous relation); dangerous (e.g. financial situation); ominous (e.g. weather); strange; shady; fishy,怪しい
歩み寄る (ayumiyoru): to compromise; to meet halfway ; to step up to; to walk up to; to approach,歩み寄る
歩む (ayumu): to walk; to go on foot,歩む
鮮やか (azayaka): vivid; bright; brilliant; clear; fresh; vibrant ; skillful; brilliant; beautiful; fine; excellent,鮮やか
倍増 (baizou): double,倍増
離れ (banare): (suffix) separation from; loss of interest in; independence of; distancing (of oneself) from; disillusionment with; alienation from (something),離れ
ばっさり : with a single stroke; resolutely; drastically; completely,ばっさり
別荘 (bessou): holiday house; vacation home; villa; prison; jail,別荘
美術 (bijutsu): art; fine arts,美術
敏感 (binkan): sensitive; alert; aware; susceptible,敏感
びっしょり : wet through; drenched,びっしょり
美容院 (biyouin): beauty parlor; beauty salon; hairdressing salon,美容院
募金 (bokin): fund-raising; collection of funds,募金
牧場 (bokujou): farm (livestock); ranch (US); pasture land; meadow; grazing land,牧場
膨大 (boudai): huge; vast; enormous; colossal; extensive; large ; swelling; expansion,膨大
防犯 (bouhan): prevention of crime,防犯
防災 (bousai): prevention of damage resulting from a natural disaster; protection against disaster,防災
"部員 (buin): staff; member (club, society, etc.)",部員
部下 (buka): subordinate person,部下
ぶかぶか : too large (clothing); baggy; loose-fitting,ぶかぶか
分別 (bunbetsu): separation (e.g. of rubbish when recycling); classification; discrimination; division; distinction,分別
分解 (bunkai): disassembly; dismantling; disaggregating; analysis; disintegrating; decomposing; degrading,分解
分割 (bunkatsu): partition; division; separation; segmenting; splitting,分割
"文系 (bunkei): humanities, social sciences, and fine arts; liberal arts",文系
文献 (bunken): literature; books (reference); document,文献
文面 (bunmen): content of a letter,文面
分配 (bunpai): division; splitting; sharing; distribution; dissemination; allocation,分配
分量 (bunryou): amount; quantity,分量
"分担 (buntan): taking on one’s share (e.g. of work); dividing (work, expenses, etc.) between; apportionment; allotment; allocation; assignment",分担
物資 (busshi): goods; materials; commodities; resources; supplies,物資
着々と (chakuchaku to): steadily,着々と
着実 (chakujitsu): steady; sound; solid; reliable; trustworthy,着実
縮める (chidjimeru): to shorten; to reduce; to condense; to shrink ; to make (one’s body) smaller; to draw in (one’s legs); to duck (one’s head),縮める
縮む (chidjimu): to shrink; to contract; to diminish (in size),縮む
近々 (chikadjika): soon; nearness; before long,近々
近づく (chikazuku): to approach; to draw near; to get close ; to get acquainted with; to get closer to; to get to know,近づく
蓄積 (chikuseki): accumulation; accumulate; store,蓄積
散らかす (chirakasu): to scatter around; to leave untidy,散らかす
地帯 (chitai): area; zone; belt (of land),地帯
知的 (chiteki): intellectual,知的
地点 (chiten): site; point on a map; spot,地点
地球温暖化 (chikyuuondanka): global warming,地球温暖化
直結 (chokketsu): direct connection; direct link,直結
直後 (chokugo): immediately following,直後
直立 (chokuritsu): standing upright; standing straight,直立
直前 (chokuzen): just before,直前
"長編 (chouhen): long (e.g. novel, film)",長編
長方形 (chouhoukei): rectangle; oblong,長方形
長期間 (choukikan): long period (of time),長期間
彫刻 (choukoku): carving; engraving; sculpture,彫刻
彫刻家 (choukokuka): engraver; carver; sculptor,彫刻家
長距離 (choukyori): long distance; long haul,長距離
調味料 (choumiryou): seasoning; flavoring; flavouring; condiment,調味料
調理 (chouri): cooking; food preparation,調理
調整 (chousei): adjustment; regulation; coordination; reconciliation; tuning; fixing; tailoring,調整
調節 (chousetsu): regulation; adjustment; control,調節
聴衆 (choushuu): audience; attendance; hearers,聴衆
注意点 (chuuiten): important point; point to make note of,注意点
抽象 (chuushou): abstraction,抽象
中断 (chuudan): interruption; suspension; break,中断
注意深い (chuuibukai): careful,注意深い
忠実 (chuujitsu): faithful; devoted; loyal; honest; true,忠実
中旬 (chuujun): middle of a month; second third of a month; 11th to 20th day of a month,中旬
中華 (chuuka): Chinese food,中華
中継 (chuukei): relay; relay broadcasting,中継
駐輪所 (chuurinjo): bicycle parking place,駐輪所
抽選 (chuusen): lottery; raffle; drawing (of lots),抽選
大学院 (daigakuin): graduate school,大学院
大学祭 (daigakusai): university festival; rag day,大学祭
台無し (dainashi): mess; spoiled; spoilt; (come to) nothing; ruin,台無し
題名 (daimei): title,題名
段取り (dandori): programme; program; plans; arrangements,段取り
段階 (dankai): grade; level; stage; class; phase; steps; order; gradation,段階
団結 (danketsu): unity; union; solidarity; combination; teaming up,団結
"だらし無い (darashinai): slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack ; weak; feeble; weak-willed; gutless",だらし無い
脱出 (dasshutsu): escape; break-out ; prolapse; proptosis,脱出
妥当 (datou): valid; proper; right; appropriate; reasonable,妥当
出来上がる (dekiagaru): to be completed; to be finished; to be ready (e.g. to serve or eat),出来上がる
"電源 (dengen): source of electricity; electrical power ; power (button on TV, etc.)",電源
電気屋 (denkiya): electric appliance store,電気屋
電波 (denpa): radio wave; reception; signal,電波
伝染 (densen): contagion; infection,伝染
"伝達 (dentatsu): transmission (e.g. news, chemical signals, electricity); communication; delivery; conveyance; transfer; relay; propagation; conduction",伝達
でたらめに : nonsense; irresponsible remark; codswallop; hogwash; rubbish,でたらめに
土台 (dodai): foundation; base; basis,土台
独占 (dokusen): monopoly; monopolization; exclusivity ; keeping to oneself,独占
読者 (dokusha): reader,読者
独身者 (dokushinsha): unmarried person; bachelor,独身者
道中 (douchuu): during the journey; on the way; while travelling,道中
動機 (douki): motive; incentive,動機
同居 (doukyo): coexistence; living together,同居
同年代 (dounendai): the same generation; coeval,同年代
導入 (dounyuu): introduction; bringing in; leading in; installation,導入
動作 (dousa): action; movements; motions; bearing; behaviour; behavior; execution; actuation; operation; manners,動作
同等 (doutou): equality; equal; same rights; same rank; equivalence,同等
絵本 (ehon): picture book,絵本
影響力 (eikyouryoku): influence; clout; leverage,影響力
映像 (eizou): image (on a screen); picture (e.g. on a TV) ; video; film; footage,映像
駅前 (ekimae): in front of station,駅前
延長 (enchou): extension; elongation; prolongation; lengthening,延長
円形 (enkei): round shape; circle; circular form,円形
演じる (enjiru): to perform (a play); to play (a part); to act (a part); to commit (a blunder),演じる
円満 (enman): harmonious; peaceful; happy; amicable; smooth; free from trouble,円満
襟 (eri): collar; lapel; neckband; neck ; nape of the neck; scruff of the neck,襟
不安定 (fuantei): instability; insecurity; crankiness,不安定
不調 (fuchou): bad condition; not to work out (i.e. a deal); disagreement; break-off; disorder; slump; out of form,不調
不動産 (fudousan): real estate,不動産
不動産屋 (fudousan’ya): real estate agent; realtor,不動産屋
不十分 (fujuubun): insufficient; inadequate; imperfect; shortage,不十分
不快 (fukai): displeasure; discomfort; unpleasantness ; indisposition; ailment,不快
不可欠 (fukaketsu): indispensable; essential,不可欠
深まる (fukamaru): to deepen; to heighten; to intensify,深まる
深める (fukameru): to deepen; to heighten; to intensify,深める
不完全 (fukanzen): imperfect; incomplete; faulty; defective,不完全
不機嫌 (fukigen): pout; displeasure; ill humor; ill humour; sullenness,不機嫌
付近 (fukin): neighbourhood; neighborhood; vicinity; environs,付近
不規則 (fukisoku): irregularity; unsteadiness; disorderly,不規則
副 (fuku): assistant; associate; vice-; sub-; deputy,副
