Expression,Meaning
料理を作るのは大好きです,I am very fond of cooking
正月までは一か月ぐらいです,There is about a month unit New Year’s Day
正しい,right、correct
月末,end of the month
来月,next month
今月,this month
年末,end of the year
家,home
家族,family
全員,all （family members）
移る,to move
特別,especially
付ける,"to attach, to join, to add、to　place"
点ける,to turn on
料理,cooking、cuisine
出す,"to　take out, to get out, to reveal, to serve"
主婦,housewife
家事,housework
必要,necessary
揃って,all　together
ゆっくり,relaxing、leisurely
理由,reason
主人,husband
準備,preparation
場合,case
伝統的,traditional
行事,rituals、events、activities
客,visitor、guest
面倒,troubles
贅沢な,elegant、luxurious
親戚,relatives
賑やか,lively、bustling
家中,throughout　the　house
掃除する,clean　the house
大切にする,pay attention to
生活,living、lifestyle
場所,place
利用法,way of use、usage
結婚式,weeding
祝い,congratulation、celebration、festival
宴会,party、banquet
レストラン,restaurant
喫茶店,coffee shop
というより,rather than、instead of
個室,private room
寝室,bedroom
今年,this year
予定,schedule、plan
はっきり,definitely
決まっていない,"it hasn’t been decided, someone hasn’t decided"
市内,within the city
海外,abroad
ほどの,sufficient for …
お宅,"your house, your home, your family"
オタク,"geek, enthusiast"
うち,my family
昔の通りに,as before
大掃除,spring cleaning
餅をつく,pound rice cakes
母,mother
アパと,apartment
門,gate
床の間,alcove (where art flowers are displayed)
都会,city
田舎,countryside
親,parents
退屈,dull、boredom
面倒くさい,bothersome、nuisance
御馳走,"feast, treating (someone)"
元日,new years day
神社,shrine
辛い,"painful, bitter, difficult, harsh, tough"
辛い,"spicy, hot"
初詣で,first shrine visit of new year
気持ちがいい,"nice feeling, refreshing"
ふうん,hmm…
のかわりに,in place of (me)
薄い,"thin, weak"
歌,a song
歌う,to sing
うち,home; house; my place
生まれる,to be born
海,"sea, beach"
売る,to sell (v.t.)
うるさい,noisy; annoying
上着,"coat, jacket"
絵,a painting; a picture; a drawing
映画,"movie, film"
映画館,"movie theater, cinema"
英語,English (language)
ええ,yes
駅,station
エレベーター,elevator
～円,Yen
鉛筆,pencil
お～,honorable ~ (honorific)
美味しい,"delicious, tasty"
多い,many; there are a lot
大きい,"big, large"
大きな,big
大勢,great number of people
お母さん,mother (formal)
お菓子,"confections, sweets, snack"
お金,money
起きる,"to get up (e.g., from sleeping); to happen"
置く,to put; to lay; to place
奥さん,(someone else's) wife (hon.)
お酒,sake; alcohol
お皿,"plate, dish"
伯父; 叔父さん,"uncle, middle-aged man"
おじいさん,"grandfather, male senior citizen"
教える,"to teach, to inform, to instruct"
押す,"to push, to press, to stamp (e.g., a passport)"
遅い,slow; (to be) late
お茶,(green) tea
お手洗い,"toilet, restroom, bathroom (lit., a place to wash one's hands)"
お父さん,father (formal)
弟,younger brother
男,"man, male"
男の子,boy
一昨日,the day before yesterday
おととし,year before last
大人,adult
お腹,stomach
同じ,"same, identical"
お兄さん,(someone else's) older brother (formal)
お姉さん,older sister (formal)
伯母さん; 叔母さん,aunt
おばあさん,"grandmother, female senior-citizen"
お風呂,a bath
お弁当,a boxed lunch
覚える,"to learn, to commit to memory, to remember, to memorize"
おまわりさん,policeman (friendly term)
重い,heavy; serious
面白い,"interesting, amusing"
泳ぐ,to swim
降りる,to get off
終る,"to finish, to close"
音楽,Music
女,"woman, female"
女の子,girl
～回,counter for occurrences (~ times)
～階,counter for stories (floors) of a building
外国,foreign country; abroad
外国人,foreigner
会社,"company, corporation"
階段,stairs
買い物,shopping
買う,to buy
返す,to return something
帰る,"to go back, to go home, to return"
顔,face (body part)
かかる,"it takes (amount of time, money) (v.i.)"
鍵,a lock; a key
書く,to write
学生,student
～か月,(number of) months
掛ける,"to put on (e.g., glasses); to hang (e.g., on a wall)"
かける,"to dial/call (e.g., phone); to sit down"
傘,"umbrella, parasol"
貸す,to lend
風,"wind, breeze"
風邪,"cold, flu"
方,-- honorific form for 人 (ひと) --; way of doing
家族,"family, members of a family"
片仮名,katakana
～月,month of year
学校,a school
カップ,cup
家庭,home; family
角,"corner (e.g., desk, pavement)"
かばん,"bag, basket"
花瓶,(flower) vase
かぶる,"to wear, to put on (e.g., a hat on the head)"
紙,paper
カメラ,camera
火曜日,Tuesday
辛い,hot and spicy; salty
体,body; health
借りる,"to borrow, to owe"
～がる,feel
軽い,"light, non-serious, minor"
カレー,curry (abbr. for curry and rice)
カレンダー,calendar
川; 河,river
～側,~ side
可愛い,"cute, adorable"
漢字,kanji; Chinese character
木,"tree, wood, timber"
黄色,yellow
黄色い,yellow
消える,"to vanish, to disappear"
聞く,"to hear, to listen, to ask"
北,north
ギター,guitar
汚い,"dirty, unclean, filthy"
喫茶店,café
切手,postal (postage) stamps
切符,a ticket
昨日,yesterday
九,nine
牛肉,beef
牛乳,milk
今日,"today, this day"
教室,classroom
兄弟,"siblings (humble), brothers and sisters"
去年,last year
嫌い,dislike
切る,to cut; to hang up (a phone)
着る,to put on (clothes above your waist); to wear
綺麗,"pretty, clean, tidy"
キロ; キログラム,(abbr.) kilo (kilogram)
キロ; キロメートル,(abbr.) kilo (kilometer)
銀行,bank
金曜日,Friday
九,nine
薬,medicine
下さい,(with te-form verb) please do for me
果物,fruit
口,job opening; mouth
靴,"shoes, footwear"
靴下,socks
国,country; place of origin
曇り,"cloudiness, cloudy weather"
曇る,"to become cloudy, to become dim"
暗い,"dark, gloomy"
～くらい; ぐらい,approximate (quantity)
クラス,a class
グラム,gram
来る,to come
車,"car, vehicle"
黒,black
黒い,black; dark
警官,police officer
今朝,this morning
消す,"to erase, to delete, to turn off power"
結構,"splendid; enough, tolerably"
結婚,marriage (get married)
月曜日,Monday
玄関,entrance (to a house or a building)
元気,"health(y), energetic"
～個,"counter for small items (e.g., fruits, cups)"
五,five
～語,"word, language"
公園,a park
交差点,intersection
紅茶,black tea
交番,police box
声,voice
コート,"coat; court (e.g., tennis)"
コーヒー,coffee
ここ,"here, this place"
午後,"afternoon, P.M."
九日,nine days; ninth day of the month
九つ,nine things
午前,"morning, A.M."
答える,"to answer, to reply"
こちら,this person (polite); this way (polite)
こっち,this person; this direction; this side
コップ,a tumbler; a glass
今年,this year
言葉,language; word(s); expression(s)
子供,child(ren)
この,this
御飯,rice (cooked); meal
コピーする,to copy
困る,"to be bothered, to have difficulty"
これ,this one
～ころ; ～ごろ,"about, toward, approximately (time)"
今月,this month
今週,this week
こんな,"such, like this"
今晩,"tonight, this evening"
さあ,"come now, well"
～歳,~ years old
財布,wallet
魚,fish
先,"future; recent, previous"
咲く,to bloom
作文,essay; composition
差す,"to raise (stretch out) hands, to raise (e.g., umbrella)"
～冊,counter for books
雑誌,"magazine, journal"
砂糖,sugar
寒い,cold (in reference to weather)
さ来年,year after next
～さん,"Mr. ~, Ms. ~"
三,three
散歩,"walk, stroll"
四,four
～時,~ o'clock (time)
塩,salt
しかし,however; but
時間,time
～時間,~ hours
仕事,"work, job, occupation, employment"
辞書,dictionary
静か,"quiet, calm"
下,"under, below, beneath"
七,seven
質問,"question, inquiry"
自転車,bicycle
自動車,automobile
死ぬ,to die
字引,dictionary
自分,"myself, oneself"
閉まる,"to close, to be closed"
閉める,"to close, to shut"
締める,"to tie, to fasten, to tighten"
じゃ; じゃあ,"well, well then"
写真,a picture; a photograph
シャツ,shirt
シャワー,shower
十,ten
～中,"during, while"
～週間,~ weeks
授業,a class (of school)
宿題,homework
上手,"be good at, skillful"
丈夫,"strong, solid, durable"
醤油,soy sauce
食堂,"cafeteria, dining hall"
知る,"to know, to understand"
白,white
白い,white
～人,counter for people
新聞,newspaper
水曜日,Wednesday
吸う,"to breathe in, to suck"
スカート,skirt
好き,"liking, fondness, love"
～すぎ,"past; to exceed, ~ too much"
少ない,a little; a few
すぐに,"immediately, soon"
少し,"little, few"
涼しい,"cool, refreshing (in reference to weather)"
～ずつ,at a time
ストーブ,heater (lit: stove)
スプーン,spoon
スポーツ,sport(s)
ズボン,trousers
住む,"to reside, to live in"
する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
座る,to sit
背,"(one's) height, stature"
生徒,student; pupil
セーター,sweater
石鹸,soap
背広,men's suit
狭い,narrow; not spacious
ゼロ,zero
千,thousand
先月,last month
先週,last week
先生,"teacher, professor; master; doctor"
洗濯,"washing, laundry"
全部,"all, entire, whole"
そう; そうです,"yes; appears, to be the case"
掃除,"cleaning, sweeping"
そうして; そして,"and, like that"
そこ,"that place, there; bottom, sole"
そちら,over there
そっち,over there
外,"outside, exterior"
その,that
そば,"near, close, beside; Japanese traditional buckwheat noodle"
空,sky
それ,that one
それから,"and then, after that"
それでは,"in that situation, well then..."
～台,counter for vehicles; machines
大学,college; university
大使館,embassy
大丈夫,It's ok (all right); No need to worry; Everything is under control
大好き,"very like-able, like very much"
大切,important
台所,kitchen
大変,"very; difficult, hard"
